89: rnj vs my : 50
89: qt vs my : 50
89: qt vs rnj : 56
214: rnj vs my : 52
214: qt vs my : 42
214: qt vs rnj : 56
304: rnj vs my : 74
304: qt vs my : 38
304: qt vs rnj : 78
401: rnj vs my : 246
401: qt vs my : 158
401: qt vs rnj : 210
494: rnj vs my : 530
494: qt vs my : 446
494: qt vs rnj : 532
608: rnj vs my : 20
608: qt vs my : 16
608: qt vs rnj : 20
777: rnj vs my : 478
777: qt vs my : 260
777: qt vs rnj : 494
877: rnj vs my : 70
877: qt vs my : 54
877: qt vs rnj : 68
1347: rnj vs my : 2080
1347: qt vs my : 2100
1347: qt vs rnj : 2100
1493: rnj vs my : 88
1493: qt vs my : 10
1493: qt vs rnj : 92
1560: rnj vs my : 168
1560: qt vs my : 62
1560: qt vs rnj : 174
1689: rnj vs my : 262
1689: qt vs my : 208
1689: qt vs rnj : 278
1756: rnj vs my : 402
1756: qt vs my : 332
1756: qt vs rnj : 368
1849: rnj vs my : 2574
1849: qt vs my : 2462
1849: qt vs rnj : 2552
